Model Name,Code Name,Protocol
LEICA_CL,N/A,EPPN
LEICA_CLUX,N/A,EPPC
LEICA_DLUX,N/A,EPPC
LEICA_DLUX_7,N/A,EPPC
LEICA_DLUX_8,LEICA_JOLLY_JUMPER,EPPC
LEICA_M10,N/A,IPPT
LEICA_M10_D,N/A,IPPT
LEICA_M10_M,LEICA_HYDRA,IPPT
LEICA_M10_P,N/A,IPPT
LEICA_M10_R,LEICA_MINERVA,IPPT
LEICA_M11,LEICA_ARIEL,IPPT
LEICA_M11_M,LEICA_RENE,IPPT
LEICA_M11_P,LEICA_LUCE,IPPT
LEICA_M11_D,LEICA_HEDWIG,IPPT
LEICA_Q,N/A,EPPN
LEICA_Q2,N/A,EPPC
LEICA_Q2_M,LEICA_FERDINAND,EPPN
LEICA_Q3,LEICA_WILSON,EPPC
LEICA_S,N/A,IPPT
LEICA_S3,N/A,IPPT
LEICA_SL,N/A,EPPN
LEICA_SL2,LEICA_KERBEROS,EPPN
LEICA_SL2_S,LEICA_CHARON,EPPN
LEICA_SL3,N/A,EPPN
LEICA_SOFORT_2,LEICA_CALIMERO,N/A
LEICA_T,N/A,EPXT
LEICA_TL,N/A,EPXT
LEICA_TL2,N/A,EPXT
LEICA_VLUX,N/A,EPPC
LEICA_VLUX5,LEICA_STYX,EPPC
LEICA_Q343,LEICA_STEPHANO,EPPC
LEICA_WARP,N/A,EPPN